0	1	a	Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat... 
1	1	a	Ok lar... Joking wif u oni... 
2	0	a	Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's 
3	1	a	U dun say so early hor... U c already then say... 
4	1	a	Nah I don't think he goes to usf, he lives around here though 
5	0	a	FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv 
6	1	a	Even my brother is not like to speak with me. They treat me like aids patent. 
7	1	a	As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune 
8	0	a	WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only. 
9	0	a	Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030 
10	1	a	I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today. 
11	0	a	SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info 
12	0	a	URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18 
13	1	a	I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times. 
14	1	a	I HAVE A DATE ON SUNDAY WITH WILL!! 
15	0	a	XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL 
16	1	a	Oh k...i'm watching here:) 
17	1	a	Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet. 
18	1	a	Fine if thats the way u feel. Thats the way its gota b 
19	0	a	England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+ 
20	1	a	Is that seriously how you spell his name? 
21	1	a	I‘m going to try for 2 months ha ha only joking 
22	1	a	So ü pay first lar... Then when is da stock comin... 
23	1	a	Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already? 
24	1	a	Ffffffffff. Alright no way I can meet up with you sooner? 
25	1	a	Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol 
26	1	a	Lol your always so convincing. 
27	1	a	Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ? 
28	1	a	I'm back &amp; we're packing the car now, I'll let you know if there's room 
29	1	a	Ahhh. Work. I vaguely remember that! What does it feel like? Lol 
30	1	a	Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us 
31	1	a	Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? 
32	1	a	K tell me anything about you. 
33	1	a	For fear of fainting with the of all that housework you just did? Quick have a cuppa 
34	0	a	Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged 
35	1	a	Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am 
36	1	a	Oops, I'll let you know when my roommate's done 
37	1	a	I see the letter B on my car 
38	1	a	Anything lor... U decide... 
39	1	a	Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything! 
40	1	a	Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola 
41	1	a	Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy 
42	0	a	07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow 
43	1	a	WHO ARE YOU SEEING? 
44	1	a	Great! I hope you like your man well endowed. I am &lt;#&gt; inches... 
45	1	a	No calls..messages..missed calls 
46	1	a	Didn't you get hep b immunisation in nigeria. 
47	1	a	Fair enough, anything going on? 
48	1	a	Yeah hopefully, if tyler can't do it I could maybe ask around a bit 
49	1	a	U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers. 
50	1	a	What you thinked about me. First time you saw me in class. 
51	1	a	A gram usually runs like &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for &lt;#&gt; 
52	1	a	K fyi x has a ride early tomorrow morning but he's crashing at our place tonight 
53	1	a	"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing. "
54	0	a	SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV 
55	1	a	Do you know what Mallika Sherawat did yesterday? Find out now @ &lt;URL&gt; 
56	0	a	Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! 
57	1	a	Sorry, I'll call later in meeting. 
58	1	a	Tell where you reached 
59	1	a	Yes..gauti and sehwag out of odi series. 
60	1	a	Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me. 
61	1	a	Ha ha ha good joke. Girls are situation seekers. 
62	1	a	Its a part of checking IQ 
63	1	a	Sorry my roommates took forever, it ok if I come by now? 
64	1	a	Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice. 
